District,Month,Visitors,Year,date
Medchal ,May, ,2020,
Medchal ,June, ,2020,
Medchal ,July, ,2020,
Medchal ,August, ,2020,
Medchal ,September, ,2020,
Medchal ,October, ,2020,
Medchal ,November, ,2020,
Medchal ,December, ,2020,
Mulugu,January,3653000,2020,
Mulugu,February,9157200,2020,
Mulugu,March,118500,2020,
Mulugu,April,,2020,
Mulugu,May,,2020,
Mulugu,June,,2020,
Mulugu,July,4550,2020,
Mulugu,August,8300,2020,
Mulugu,September,11300,2020,
Mulugu,October,17600,2020,
Mulugu,November,57200,2020,
Mulugu,December,60900,2020,
Nagarkurnool ,January,228812,2020,
Nagarkurnool ,February,286258,2020,
Nagarkurnool ,March,32333,2020,
Nagarkurnool ,April,,2020,
Nagarkurnool ,May,,2020,
Nagarkurnool ,June,34508,2020,
Nagarkurnool ,July,66655,2020,
Nagarkurnool ,August,80155,2020,
Nagarkurnool ,September,175712,2020,
Nagarkurnool ,October,95788,2020,
Nagarkurnool ,November,77869,2020,
Nagarkurnool ,December,85280,2020,
Nalgonda,January,10127,2020,
Nalgonda,February,9154,2020,
Nalgonda,March,772,2020,
Nalgonda,April,,2020,
Nalgonda,May,,2020,
Nalgonda,June,218,2020,
Nalgonda,July,224,2020,
Nalgonda,August,558,2020,
Nalgonda,September,2480,2020,
Nalgonda,October,8541,2020,
Nalgonda,November,6242,2020,
Nalgonda,December,8514,2020,
Narayanapet,January,47272,2020,
Narayanapet,February,244657,2020,
Narayanapet,March,21907,2020,
Narayanapet,April,,2020,
Narayanapet,May,,2020,
Narayanapet,June,20907,2020,
Narayanapet,July,39820,2020,
Narayanapet,August,34777,2020,
Narayanapet,September,62841,2020,
Narayanapet,October,52309,2020,
Narayanapet,November,49597,2020,
Narayanapet,December,56031,2020,
Nirmal,January,368292,2020,
Nirmal,February,299646,2020,
Nirmal,March,253116,2020,
Nirmal,April,,2020,
Nirmal,May,,2020,
Nirmal,June,5040,2020,
Nirmal,July,9212,2020,
Nirmal,August,10336,2020,
Nirmal,September,13377,2020,
Nirmal,October,28586,2020,
Nirmal,November,73126,2020,
Nirmal,December,110808,2020,
Nizamabad,January,7540,2020,
Nizamabad,February,6400,2020,
Nizamabad,March,6750,2020,
Nizamabad,April,,2020,
Nizamabad,May,,2020,
Nizamabad,June,,2020,
Nizamabad,July,1620,2020,
Nizamabad,August,2020,2020,
Nizamabad,September,10050,2020,
Nizamabad,October,6310,2020,
Nizamabad,November,10900,2020,
Nizamabad,December,40400,2020,
Peddapalli,January,2945,2020,
Peddapalli,February,2315,2020,
Peddapalli,March,1450,2020,
Peddapalli,April,,2020,
Peddapalli,May,,2020,
Peddapalli,June,445,2020,
Peddapalli,July,250,2020,
Peddapalli,August,1250,2020,
Peddapalli,September,800,2020,
Peddapalli,October,600,2020,
Peddapalli,November,650,2020,
Peddapalli,December,1105,2020,
Rajanna Sircilla ,January,2298291,2020,
Rajanna Sircilla ,February,963871,2020,
Rajanna Sircilla ,March,885559,2020,
Rajanna Sircilla ,April,,2020,
Rajanna Sircilla ,May,,2020,
Rajanna Sircilla ,June,76026,2020,
Rajanna Sircilla ,July,60636,2020,
Rajanna Sircilla ,August,110783,2020,
Rajanna Sircilla ,September,121976,2020,
Rajanna Sircilla ,October,181929,2020,
Rajanna Sircilla ,November,391170,2020,
Rajanna Sircilla ,December,535298,2020,
Ranga Reddy,January, ,2020,
Ranga Reddy,February, ,2020,
Ranga Reddy,March, ,2020,
Ranga Reddy,April, ,2020,
Ranga Reddy,May, ,2020,
Ranga Reddy,June, ,2020,
Ranga Reddy,July, ,2020,
Ranga Reddy,August, ,2020,
Ranga Reddy,September, ,2020,
Ranga Reddy,October, ,2020,
Ranga Reddy,November, ,2020,
Ranga Reddy,December, ,2020,
Sangareddy ,January,213000,2020,
Sangareddy ,February,755000,2020,
Sangareddy ,March,235000,2020,
Sangareddy ,April,,2020,
Sangareddy ,May,,2020,
Sangareddy ,June,9500,2020,
Sangareddy ,July,27400,2020,
Sangareddy ,August,45400,2020,
Sangareddy ,September,47900,2020,
Sangareddy ,October,55400,2020,
Sangareddy ,November,149000,2020,
Sangareddy ,December,167000,2020,
Siddipet,January,473350,2020,
Siddipet,February,204885,2020,
Siddipet,March,123000,2020,
Siddipet,April,,2020,
Siddipet,May,,2020,
Siddipet,June,19846,2020,
Siddipet,July,23864,2020,
Siddipet,August,27307,2020,
Siddipet,September,30980,2020,
Siddipet,October,73367,2020,
Siddipet,November,72049,2020,
Siddipet,December,173000,2020,
Suryapet,January, ,2020,
Suryapet,February, ,2020,
Suryapet,March, ,2020,
Suryapet,April, ,2020,
Suryapet,May, ,2020,
Suryapet,June, ,2020,
Suryapet,July, ,2020,
Suryapet,August, ,2020,
Suryapet,September, ,2020,
Suryapet,October, ,2020,
Suryapet,November, ,2020,
Suryapet,December, ,2020,
Vikarabad,January, ,2020,
Vikarabad,February, ,2020,
Vikarabad,March, ,2020,
Vikarabad,April, ,2020,
Vikarabad,May, ,2020,
Vikarabad,June, ,2020,
Vikarabad,July, ,2020,
Vikarabad,August, ,2020,
Vikarabad,September, ,2020,
Vikarabad,October, ,2020,
Vikarabad,November, ,2020,
Vikarabad,December, ,2020,
Wanaparthy ,January,28131,2020,
Wanaparthy ,February,22342,2020,
Wanaparthy ,March,7050,2020,
Wanaparthy ,April,,2020,
Wanaparthy ,May,,2020,
Wanaparthy ,June,4050,2020,
Wanaparthy ,July,17092,2020,
Wanaparthy ,August,30860,2020,
Wanaparthy ,September,21375,2020,
Wanaparthy ,October,29683,2020,
Wanaparthy ,November,29036,2020,
Wanaparthy ,December,27057,2020,
Warangal (Rural),January,31550,2020,
Warangal (Rural),February,31050,2020,
Warangal (Rural),March,26050,2020,
Warangal (Rural),April,,2020,
Warangal (Rural),May,,2020,
Warangal (Rural),June,,2020,
Warangal (Rural),July,560,2020,
Warangal (Rural),August,870,2020,
Warangal (Rural),September,1550,2020,
Warangal (Rural),October,2060,2020,
Warangal (Rural),November,7550,2020,
Warangal (Rural),December,7530,2020,
Warangal (Urban),January,157630,2020,
Warangal (Urban),February,157950,2020,
Warangal (Urban),March,102520,2020,
Warangal (Urban),April,,2020,
Warangal (Urban),May,,2020,
Warangal (Urban),June,,2020,
Warangal (Urban),July,7300,2020,
Warangal (Urban),August,9150,2020,
Warangal (Urban),September,12050,2020,
Warangal (Urban),October,18350,2020,
Warangal (Urban),November,91120,2020,
Warangal (Urban),December,92455,2020,
Yadadri Bhongir,January,493002,2020,
Yadadri Bhongir,February,527311,2020,
Yadadri Bhongir,March,125380,2020,
Yadadri Bhongir,April,,2020,
Yadadri Bhongir,May,,2020,
Yadadri Bhongir,June,76480,2020,
Yadadri Bhongir,July,25375,2020,
Yadadri Bhongir,August,110587,2020,
Yadadri Bhongir,September,110595,2020,
Yadadri Bhongir,October,481320,2020,
Yadadri Bhongir,November,381150,2020,
Yadadri Bhongir,December,321254,2020,
