district,IV,FV,CAGR
Mancherial,7802,269810,225.8
"Warangal (Rural)",19400,353500,163.15
"Bhadradri Kothagudem ",889030,12817737,143.39
Siddipet,358400,2987864,102.77
"Jangaon ",40660,328890,100.74
